"Supplied Name","guid","vernacular name","group"
"Tiliqua rugosa","urn:lsid:biodiversity.org.au:afd.taxon:05156334-2a45-48ad-adb6-933885d564d6",,"Reptiles"
"Phylidonyris novaehollandiae","urn:lsid:biodiversity.org.au:afd.taxon:6e19b288-4e89-48ae-8477-522de8a53b29",,"Birds"
"Macropanesthia rhinoceros","urn:lsid:biodiversity.org.au:afd.taxon:1ee9ffb8-79f0-40e1-aa95-dd3e15df1ea2",,"Invertebrates"
"Lasiorhinus latifrons","urn:lsid:biodiversity.org.au:afd.taxon:24a9ba35-3c1e-4f23-bd3c-47b2ae942355",,"Mammals"
"Morelia spilota","urn:lsid:biodiversity.org.au:afd.taxon:30176060-8809-43ce-81a5-c7cbafb4dab7",,"Reptiles"
"Eucalyptus pauciflora","urn:lsid:biodiversity.org.au:apni.taxon:306142","Snow Gum","Flowering plants"
"Polistes humilis","urn:lsid:biodiversity.org.au:afd.taxon:465be0e3-9e2f-4883-beba-cd9cfdb3c80f","Common Paper Wasp","Invertebrates"
"Carcharodon carcharias","urn:lsid:biodiversity.org.au:afd.taxon:f308a791-3721-4010-87ec-a61868b6ab79",,"Fish"
"Oxyuranus microlepidotus","urn:lsid:biodiversity.org.au:afd.taxon:ba9555d0-5fea-4d62-962b-a800e5fc2e54","Inland Taipan","Reptiles"
"Acacia pycnantha","urn:lsid:biodiversity.org.au:apni.taxon:298895","Golden Wattle","Flowering plants"
"Nephrolepis cordifolia","urn:lsid:biodiversity.org.au:apni.taxon:269722","Fishbone Fern","Ferns"
"Rhinella marina","urn:lsid:biodiversity.org.au:afd.taxon:2167ae62-03a5-472d-925a-4d757b3a8de7",,"Frogs"
"Dicksonia antarctica","urn:lsid:biodiversity.org.au:apni.taxon:309643","Soft Tree Fern","Ferns"
"Heteronympha merope","urn:lsid:biodiversity.org.au:afd.taxon:1e461e55-3b91-4013-a9a8-6ff858929f6b","Common Brown Butterfly","Invertebrates"
"Atrax robustus","urn:lsid:biodiversity.org.au:afd.taxon:470ab419-46ea-4187-8dfc-60fd0d2b224c",,"Invertebrates"
"Leipoa ocellata","urn:lsid:biodiversity.org.au:afd.taxon:75e63252-bc20-4a58-9c5c-9399de34f846",,"Birds"
"Notechis scutatus","urn:lsid:biodiversity.org.au:afd.taxon:4f2f77c5-f114-4d0d-9c27-c41fb1deb239","Eastern Tiger Snake","Reptiles"
"Petaurus breviceps","urn:lsid:biodiversity.org.au:afd.taxon:6c373938-06c9-4e82-8326-1f6a5b10ef45","Sugar-glider","Mammals"
"Anthochaera carunculata","urn:lsid:biodiversity.org.au:afd.taxon:d9b54fcd-56bd-433c-b63b-a9033462e7aa",,"Birds"
"Isopogon dawsonii","urn:lsid:biodiversity.org.au:apni.taxon:247403",,"Flowering plants"
"Pteropus alecto","urn:lsid:biodiversity.org.au:afd.taxon:f5dd3f5d-3158-4ce0-bb37-ffa40bcf13c0",,"Mammals"
"Morelia bredli","urn:lsid:biodiversity.org.au:afd.taxon:944d52eb-ec00-413d-aea7-424be4416091","Centralian Carpet Python","Reptiles"
"Araucaria bidwillii","urn:lsid:biodiversity.org.au:apni.taxon:306965","Bunya Pine","Conifers"
"Calyptorhynchus latirostris","urn:lsid:biodiversity.org.au:afd.taxon:2f96a0d0-4ed9-413e-8497-15064bfd460b",,"Birds"
"Trichoglossus haematodus","urn:lsid:biodiversity.org.au:afd.taxon:99a0bf26-7c70-4744-99f4-2afddf64d47e",,"Birds"
"Anigozanthos manglesii","urn:lsid:biodiversity.org.au:apni.taxon:302290","Kangaroo Paw","Flowering plants"
"Eucalyptus camaldulensis","urn:lsid:biodiversity.org.au:apni.taxon:425841","River Red Gum","Flowering plants"
"Dactyloptena orientalis","urn:lsid:biodiversity.org.au:afd.taxon:7b369530-3031-44d3-8447-bfe0d7968f6a","Common Helmet Gurnard","Fish"
"Hapalochlaena maculosa","urn:lsid:biodiversity.org.au:afd.taxon:cee7c439-f529-45bf-843f-fb9dbaf53848","Blue Ringed Octopus","Invertebrates"
"Aquila audax","urn:lsid:biodiversity.org.au:afd.taxon:1f65b5cf-fdac-4c15-868b-006f9e9c8ec0",,"Birds"
"Pterostylis nutans","urn:lsid:biodiversity.org.au:apni.taxon:717354","Nodding Greenhood","Flowering plants"
"Eurycnema goliath","urn:lsid:biodiversity.org.au:afd.taxon:94c45e05-2c64-4efe-a478-df8a70727d8c","Goliath Stick Insect","Invertebrates"
"Simoselaps australis","urn:lsid:biodiversity.org.au:afd.taxon:f738e525-d7a0-47b1-aadf-2b20b3158003","Australian Coral Snake","Reptiles"
"Dendrelaphis punctulatus","urn:lsid:biodiversity.org.au:afd.taxon:7c5f29df-d57d-43a8-bd08-7b41a3909cd5",,"Reptiles"
"Allocasuarina littoralis","urn:lsid:biodiversity.org.au:apni.taxon:290620","Black She-Oak","Flowering plants"
"Eucalyptus rossii","urn:lsid:biodiversity.org.au:apni.taxon:306368","Scribbly Gum","Flowering plants"
"Latrodectus hasselti","urn:lsid:biodiversity.org.au:afd.taxon:7b43f4b7-64bf-4c38-a072-38a47aa03d6e","Red-backed Spider","Invertebrates"
"Sarcophilus harrisii","urn:lsid:biodiversity.org.au:afd.taxon:dd25b072-9f1e-4f62-a095-f6f118915035",,"Mammals"
"Pseudechis porphyriacus","urn:lsid:biodiversity.org.au:afd.taxon:76aeada7-b73f-487e-8fc0-d062ac585b22",,"Reptiles"
"Cacatua galerita","urn:lsid:biodiversity.org.au:afd.taxon:0aef294b-6a7a-4836-b3a6-24feb67cebd2",,"Birds"
"Epinephelus polyphekadion","urn:lsid:biodiversity.org.au:afd.taxon:a6de5296-5204-4e08-ba33-85b986c08071",,"Fish"
"Maccullochella peelii","urn:lsid:biodiversity.org.au:afd.taxon:54e10f17-f08c-4f93-b576-681f361ffe56",,"Fish"
"Platycerium bifurcatum","urn:lsid:biodiversity.org.au:apni.taxon:335350","Elkhorn Fern","Ferns"
"Malurus cyaneus","urn:lsid:biodiversity.org.au:afd.taxon:85021a35-821f-49ad-820a-d9914509c355",,"Birds"
